Date	SP_ADJ_CLOSE	GE_ADJ_CLOSE
12/1/1990	330.220001	0.403409
1/1/1991	343.929993	0.50662
2/1/1991	367.070007	0.538284
3/1/1991	375.220001	0.604472
4/1/1991	375.339996	0.614239
5/1/1991	389.829987	0.670671
6/1/1991	371.160004	0.69832
7/1/1991	387.809998	0.691243
8/1/1991	395.429993	0.706577
9/1/1991	387.859985	0.654675
10/1/1991	392.450012	0.71401
11/1/1991	375.220001	0.670032
12/1/1991	417.089996	0.79162
1/1/1992	408.779999	0.865501
2/1/1992	412.700012	0.904319
3/1/1992	403.690002	0.871252
4/1/1992	414.950012	0.961042
5/1/1992	415.350006	0.957907
6/1/1992	408.140015	0.975153
7/1/1992	424.209991	1.050159
8/1/1992	414.029999	1.01584
9/1/1992	417.799988	1.074183
10/1/1992	418.679993	1.156263
11/1/1992	431.350006	1.254188
12/1/1992	435.709991	1.288085
1/1/1993	438.779999	1.426825
2/1/1993	443.380005	1.393691
3/1/1993	451.670013	1.476525
4/1/1993	440.190002	1.646701
5/1/1993	450.190002	1.685314
6/1/1993	450.529999	1.739825
7/1/1993	448.130005	1.946004
8/1/1993	463.559998	1.941064
9/1/1993	458.929993	1.894144
10/1/1993	467.829987	2.074917
11/1/1993	461.790009	2.104329
12/1/1993	466.450012	2.243369
1/1/1994	481.609985	2.508776
2/1/1994	467.140015	2.453478
3/1/1994	445.769989	2.32833
4/1/1994	450.910004	2.414945
5/1/1994	456.5	2.522698
6/1/1994	444.269989	2.364238
7/1/1994	458.26001	2.676205
8/1/1994	475.48999	2.643
9/1/1994	462.709991	2.556673
10/1/1994	472.350006	2.716686
11/1/1994	453.690002	2.556881
12/1/1994	459.269989	2.834802
1/1/1995	470.420013	3.009106
2/1/1995	487.390015	3.199001
3/1/1995	500.709991	3.15518
4/1/1995	514.710022	3.425893
5/1/1995	533.400024	3.548247
6/1/1995	544.75	3.448834
7/1/1995	562.059998	3.775182
8/1/1995	561.880005	3.767183
9/1/1995	584.409973	4.079117
10/1/1995	581.5	4.208166
